port_fact_sk,date_key,geo_sk,event_sk,avg_wait_days,vessels_anchor,utilization_pct,congestion_level,load_timestamp
147,20211025,1,,111.3,59,99.0,Critical,Wed May 13 12:51:38 EET 2026
148,20211101,1,,337.4,7,99.0,Critical,Wed May 13 12:51:38 EET 2026
149,20211108,1,,196.6,80,99.0,Critical,Wed May 13 12:51:38 EET 2026
150,20211115,1,,245.9,131,99.0,Critical,Wed May 13 12:51:38 EET 2026
151,20211122,1,,284.2,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
152,20211129,1,,219.4,100,99.0,Critical,Wed May 13 12:51:38 EET 2026
153,20211206,1,,227.6,107,99.0,Critical,Wed May 13 12:51:38 EET 2026
154,20211213,1,,195.7,42,99.0,Critical,Wed May 13 12:51:38 EET 2026
155,20211220,1,,211.2,114,99.0,Critical,Wed May 13 12:51:38 EET 2026
156,20211227,1,,216.4,177,99.0,Critical,Wed May 13 12:51:38 EET 2026
157,20220103,1,22,125.3,51,99.0,Critical,Wed May 13 12:51:38 EET 2026
158,20220110,1,22,259.6,47,99.0,Critical,Wed May 13 12:51:38 EET 2026
159,20220117,1,22,250.9,96,99.0,Critical,Wed May 13 12:51:38 EET 2026
160,20220124,1,22,112.5,49,99.0,Critical,Wed May 13 12:51:38 EET 2026
161,20220131,1,22,115.7,76,99.0,Critical,Wed May 13 12:51:38 EET 2026
162,20220207,1,22,202.9,160,99.0,Critical,Wed May 13 12:51:38 EET 2026
163,20220214,1,22,142.1,97,99.0,Critical,Wed May 13 12:51:38 EET 2026
164,20220221,1,22,91.9,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
165,20220228,1,22,181.0,105,99.0,Critical,Wed May 13 12:51:38 EET 2026
166,20220307,1,22,121.3,11,99.0,Critical,Wed May 13 12:51:38 EET 2026
167,20220314,1,22,127.0,41,99.0,Critical,Wed May 13 12:51:38 EET 2026
168,20220321,1,22,191.4,132,99.0,Critical,Wed May 13 12:51:38 EET 2026
169,20220328,1,22,138.8,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
170,20220404,1,22,176.5,67,99.0,Critical,Wed May 13 12:51:38 EET 2026
171,20220411,1,22,234.6,78,99.0,Critical,Wed May 13 12:51:38 EET 2026
172,20220418,1,22,167.7,87,99.0,Critical,Wed May 13 12:51:38 EET 2026
173,20220425,1,22,125.7,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
174,20220502,1,22,118.0,43,99.0,Critical,Wed May 13 12:51:38 EET 2026
175,20220509,1,22,176.8,76,99.0,Critical,Wed May 13 12:51:38 EET 2026
176,20220516,1,22,138.2,102,99.0,Critical,Wed May 13 12:51:38 EET 2026
177,20220523,1,22,115.6,60,99.0,Critical,Wed May 13 12:51:38 EET 2026
178,20220530,1,22,162.4,25,99.0,Critical,Wed May 13 12:51:38 EET 2026
179,20220606,1,22,131.7,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
180,20220613,1,22,96.3,66,99.0,Critical,Wed May 13 12:51:38 EET 2026
181,20220620,1,22,94.1,54,99.0,Critical,Wed May 13 12:51:38 EET 2026
182,20220627,1,22,149.8,70,99.0,Critical,Wed May 13 12:51:38 EET 2026
183,20220704,1,22,165.2,185,99.0,Critical,Wed May 13 12:51:38 EET 2026
184,20220711,1,22,364.2,91,99.0,Critical,Wed May 13 12:51:38 EET 2026
185,20220718,1,22,321.5,179,99.0,Critical,Wed May 13 12:51:38 EET 2026
186,20220725,1,22,258.9,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
187,20220801,1,22,223.0,53,99.0,Critical,Wed May 13 12:51:38 EET 2026
188,20220808,1,22,344.6,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
189,20220815,1,22,410.4,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
190,20220822,1,22,267.3,142,99.0,Critical,Wed May 13 12:51:38 EET 2026
191,20220829,1,22,175.2,115,99.0,Critical,Wed May 13 12:51:38 EET 2026
192,20220905,1,22,196.5,36,99.0,Critical,Wed May 13 12:51:38 EET 2026
193,20220912,1,22,277.6,178,99.0,Critical,Wed May 13 12:51:38 EET 2026
194,20220919,1,22,197.3,5,99.0,Critical,Wed May 13 12:51:38 EET 2026
195,20220926,1,22,183.1,66,99.0,Critical,Wed May 13 12:51:38 EET 2026
196,20221003,1,22,298.4,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
197,20221010,1,22,272.1,156,99.0,Critical,Wed May 13 12:51:38 EET 2026
198,20221017,1,22,241.7,100,99.0,Critical,Wed May 13 12:51:38 EET 2026
199,20221024,1,22,264.7,88,99.0,Critical,Wed May 13 12:51:38 EET 2026
200,20221031,1,22,365.2,189,99.0,Critical,Wed May 13 12:51:38 EET 2026
201,20221107,1,22,230.1,34,99.0,Critical,Wed May 13 12:51:38 EET 2026
202,20221114,1,22,240.8,122,99.0,Critical,Wed May 13 12:51:38 EET 2026
203,20221121,1,22,190.0,120,99.0,Critical,Wed May 13 12:51:38 EET 2026
204,20221128,1,22,272.1,0,99.0,Critical,Wed May 13 12:51:38 EET 2026
205,20221205,1,22,436.8,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
206,20221212,1,22,219.2,121,99.0,Critical,Wed May 13 12:51:38 EET 2026
207,20221219,1,22,222.2,161,99.0,Critical,Wed May 13 12:51:38 EET 2026
208,20221226,1,22,181.6,76,99.0,Critical,Wed May 13 12:51:38 EET 2026
209,20230102,1,,81.5,62,99.0,Critical,Wed May 13 12:51:38 EET 2026
210,20230109,1,,39.1,33,66.1,Busy,Wed May 13 12:51:38 EET 2026
211,20230116,1,,91.6,74,99.0,Critical,Wed May 13 12:51:38 EET 2026
212,20230123,1,,58.8,32,99.0,Critical,Wed May 13 12:51:38 EET 2026
213,20230130,1,,72.8,57,99.0,Critical,Wed May 13 12:51:38 EET 2026
214,20230206,1,,56.4,0,89.3,Congested,Wed May 13 12:51:38 EET 2026
215,20230213,1,,69.4,36,99.0,Critical,Wed May 13 12:51:38 EET 2026
216,20230220,1,,44.2,21,77.9,Busy,Wed May 13 12:51:38 EET 2026
217,20230227,1,,61.2,6,99.0,Critical,Wed May 13 12:51:38 EET 2026
218,20230306,1,,100.9,49,99.0,Critical,Wed May 13 12:51:38 EET 2026
219,20230313,1,,60.3,21,99.0,Critical,Wed May 13 12:51:38 EET 2026
220,20230320,1,,49.9,23,84.1,Congested,Wed May 13 12:51:38 EET 2026
221,20230327,1,,59.4,52,99.0,Critical,Wed May 13 12:51:38 EET 2026
222,20230403,1,,43.7,16,76.5,Busy,Wed May 13 12:51:38 EET 2026
223,20230410,1,,64.2,54,99.0,Critical,Wed May 13 12:51:38 EET 2026
224,20230417,1,,59.9,65,99.0,Critical,Wed May 13 12:51:38 EET 2026
225,20230424,1,,44.9,48,81.1,Congested,Wed May 13 12:51:38 EET 2026
226,20230501,1,,83.0,55,99.0,Critical,Wed May 13 12:51:38 EET 2026
227,20230508,1,,56.8,21,90.6,Congested,Wed May 13 12:51:38 EET 2026
228,20230515,1,,56.8,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
229,20230522,1,,54.7,28,98.7,Critical,Wed May 13 12:51:38 EET 2026
230,20230529,1,,51.9,39,91.4,Congested,Wed May 13 12:51:38 EET 2026
231,20230605,1,,44.7,39,79.1,Busy,Wed May 13 12:51:38 EET 2026
232,20230612,1,,58.2,29,99.0,Critical,Wed May 13 12:51:38 EET 2026
233,20230619,1,,49.2,27,84.9,Congested,Wed May 13 12:51:38 EET 2026
234,20230626,1,,44.7,26,81.8,Congested,Wed May 13 12:51:38 EET 2026
235,20230703,1,,62.9,29,99.0,Critical,Wed May 13 12:51:38 EET 2026
236,20230710,1,,83.2,39,99.0,Critical,Wed May 13 12:51:38 EET 2026
237,20230717,1,,63.9,25,99.0,Critical,Wed May 13 12:51:38 EET 2026
238,20230724,1,,75.9,64,99.0,Critical,Wed May 13 12:51:38 EET 2026
239,20230731,1,,48.5,23,82.2,Congested,Wed May 13 12:51:38 EET 2026
240,20230807,1,,54.4,20,91.6,Congested,Wed May 13 12:51:38 EET 2026
241,20230814,1,,81.6,44,99.0,Critical,Wed May 13 12:51:38 EET 2026
242,20230821,1,,56.5,28,99.0,Critical,Wed May 13 12:51:38 EET 2026
243,20230828,1,,102.1,29,99.0,Critical,Wed May 13 12:51:38 EET 2026
244,20230904,1,,41.0,28,76.2,Busy,Wed May 13 12:51:38 EET 2026
245,20230911,1,,60.6,4,99.0,Critical,Wed May 13 12:51:38 EET 2026
246,20230918,1,,54.1,12,94.6,Congested,Wed May 13 12:51:38 EET 2026
247,20230925,1,,54.0,36,89.0,Congested,Wed May 13 12:51:38 EET 2026
248,20231002,1,,63.1,46,99.0,Critical,Wed May 13 12:51:38 EET 2026
249,20231009,1,,76.8,23,99.0,Critical,Wed May 13 12:51:38 EET 2026
250,20231016,1,,84.7,28,99.0,Critical,Wed May 13 12:51:38 EET 2026
251,20231023,1,,47.1,17,84.8,Congested,Wed May 13 12:51:38 EET 2026
252,20231030,1,,59.7,30,99.0,Critical,Wed May 13 12:51:38 EET 2026
253,20231106,1,,44.0,13,77.1,Busy,Wed May 13 12:51:38 EET 2026
254,20231113,1,,91.0,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
255,20231120,1,,51.4,23,85.8,Congested,Wed May 13 12:51:38 EET 2026
256,20231127,1,,66.0,36,99.0,Critical,Wed May 13 12:51:38 EET 2026
257,20231204,1,,64.5,41,99.0,Critical,Wed May 13 12:51:38 EET 2026
258,20231211,1,,50.7,30,90.5,Congested,Wed May 13 12:51:38 EET 2026
259,20231218,1,,61.5,21,99.0,Critical,Wed May 13 12:51:38 EET 2026
260,20231225,1,,83.4,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
261,20240101,1,39,57.9,72,99.0,Critical,Wed May 13 12:51:38 EET 2026
262,20240108,1,39,55.0,32,98.7,Critical,Wed May 13 12:51:38 EET 2026
263,20240115,1,39,94.7,53,99.0,Critical,Wed May 13 12:51:38 EET 2026
264,20240122,1,39,67.4,31,99.0,Critical,Wed May 13 12:51:38 EET 2026
265,20240129,1,39,118.5,51,99.0,Critical,Wed May 13 12:51:38 EET 2026
266,20240205,1,39,60.0,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
267,20240212,1,39,51.7,30,86.1,Congested,Wed May 13 12:51:38 EET 2026
268,20240219,1,39,48.3,9,88.0,Congested,Wed May 13 12:51:38 EET 2026
269,20240226,1,39,77.5,39,99.0,Critical,Wed May 13 12:51:38 EET 2026
270,20240304,1,39,75.4,41,99.0,Critical,Wed May 13 12:51:38 EET 2026
271,20240311,1,39,47.5,5,79.4,Busy,Wed May 13 12:51:38 EET 2026
272,20240318,1,39,72.2,11,99.0,Critical,Wed May 13 12:51:38 EET 2026
273,20240325,1,39,55.6,8,90.6,Congested,Wed May 13 12:51:38 EET 2026
274,20240401,1,39,62.1,12,99.0,Critical,Wed May 13 12:51:38 EET 2026
275,20240408,1,39,43.9,19,80.1,Congested,Wed May 13 12:51:38 EET 2026
276,20240415,1,39,52.6,41,90.0,Congested,Wed May 13 12:51:38 EET 2026
277,20240422,1,39,67.6,28,99.0,Critical,Wed May 13 12:51:38 EET 2026
278,20240429,1,39,78.4,28,99.0,Critical,Wed May 13 12:51:38 EET 2026
279,20240506,1,39,72.4,17,99.0,Critical,Wed May 13 12:51:38 EET 2026
280,20240513,1,39,43.7,35,84.7,Congested,Wed May 13 12:51:38 EET 2026
281,20240520,1,39,86.8,45,99.0,Critical,Wed May 13 12:51:38 EET 2026
282,20240527,1,39,64.7,22,99.0,Critical,Wed May 13 12:51:38 EET 2026
283,20240603,1,39,70.8,9,99.0,Critical,Wed May 13 12:51:38 EET 2026
284,20240610,1,39,46.4,33,78.5,Busy,Wed May 13 12:51:38 EET 2026
285,20240617,1,39,79.9,54,99.0,Critical,Wed May 13 12:51:38 EET 2026
286,20240624,1,39,80.2,23,99.0,Critical,Wed May 13 12:51:38 EET 2026
287,20240701,1,39,68.6,40,99.0,Critical,Wed May 13 12:51:38 EET 2026
288,20240708,1,39,75.5,41,99.0,Critical,Wed May 13 12:51:38 EET 2026
289,20240715,1,39,42.8,31,72.6,Busy,Wed May 13 12:51:38 EET 2026
290,20240722,1,39,51.7,47,86.0,Congested,Wed May 13 12:51:38 EET 2026
291,20240729,1,39,62.4,14,99.0,Critical,Wed May 13 12:51:38 EET 2026
292,20240805,1,39,53.7,32,82.1,Congested,Wed May 13 12:51:38 EET 2026
293,20240812,1,39,56.2,16,99.0,Critical,Wed May 13 12:51:38 EET 2026
294,20240819,1,39,58.1,23,93.1,Congested,Wed May 13 12:51:38 EET 2026
295,20240826,1,39,77.2,0,99.0,Critical,Wed May 13 12:51:38 EET 2026
296,20240902,1,39,93.9,65,99.0,Critical,Wed May 13 12:51:38 EET 2026
297,20240909,1,39,50.5,37,82.1,Congested,Wed May 13 12:51:38 EET 2026
298,20240916,1,39,54.9,13,94.3,Congested,Wed May 13 12:51:38 EET 2026
299,20240923,1,39,53.7,34,90.7,Congested,Wed May 13 12:51:38 EET 2026
300,20240930,1,39,67.8,32,99.0,Critical,Wed May 13 12:51:38 EET 2026
301,20241007,1,39,69.7,70,99.0,Critical,Wed May 13 12:51:38 EET 2026
302,20241014,1,39,131.5,82,99.0,Critical,Wed May 13 12:51:38 EET 2026
303,20241021,1,39,47.2,18,79.8,Busy,Wed May 13 12:51:38 EET 2026
304,20241028,1,39,58.2,31,99.0,Critical,Wed May 13 12:51:38 EET 2026
305,20241104,1,39,58.3,19,99.0,Critical,Wed May 13 12:51:38 EET 2026
306,20241111,1,39,40.7,17,71.1,Busy,Wed May 13 12:51:38 EET 2026
307,20241118,1,39,76.3,43,99.0,Critical,Wed May 13 12:51:38 EET 2026
308,20241125,1,39,51.3,22,89.0,Congested,Wed May 13 12:51:38 EET 2026
309,20241202,1,39,37.9,15,65.9,Busy,Wed May 13 12:51:38 EET 2026
310,20241209,1,39,57.1,35,94.7,Congested,Wed May 13 12:51:38 EET 2026
311,20241216,1,39,55.7,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
312,20241223,1,39,42.1,18,74.0,Busy,Wed May 13 12:51:38 EET 2026
313,20241230,1,39,69.5,18,99.0,Critical,Wed May 13 12:51:38 EET 2026
314,20190107,2,20,43.0,12,86.9,Congested,Wed May 13 12:51:38 EET 2026
315,20190114,2,20,34.6,12,67.0,Busy,Wed May 13 12:51:38 EET 2026
316,20190121,2,20,37.7,0,78.2,Busy,Wed May 13 12:51:38 EET 2026
317,20190128,2,20,40.9,7,84.0,Congested,Wed May 13 12:51:38 EET 2026
318,20190204,2,20,39.8,21,80.6,Congested,Wed May 13 12:51:38 EET 2026
319,20190211,2,20,30.4,10,62.5,Busy,Wed May 13 12:51:38 EET 2026
320,20190218,2,20,41.7,17,81.8,Congested,Wed May 13 12:51:38 EET 2026
321,20190225,2,20,39.3,22,88.2,Congested,Wed May 13 12:51:38 EET 2026
322,20190304,2,20,37.6,22,77.1,Busy,Wed May 13 12:51:38 EET 2026
323,20190311,2,20,30.1,11,57.5,Normal,Wed May 13 12:51:38 EET 2026
324,20190318,2,20,33.7,8,71.6,Busy,Wed May 13 12:51:38 EET 2026
325,20190325,2,20,33.2,14,60.7,Busy,Wed May 13 12:51:38 EET 2026
