port_fact_sk,date_key,geo_sk,era_sk,avg_wait_days,vessels_anchor,utilization_pct,congestion_level,load_timestamp
69,20200427,1,4,96.8,86,99.0,Critical,Wed May 13 12:51:38 EET 2026
70,20200504,1,4,116.5,37,99.0,Critical,Wed May 13 12:51:38 EET 2026
71,20200511,1,4,92.3,64,99.0,Critical,Wed May 13 12:51:38 EET 2026
72,20200518,1,4,123.0,42,99.0,Critical,Wed May 13 12:51:38 EET 2026
73,20200525,1,4,140.3,68,99.0,Critical,Wed May 13 12:51:38 EET 2026
74,20200601,1,4,60.9,35,99.0,Critical,Wed May 13 12:51:38 EET 2026
75,20200608,1,4,87.7,39,99.0,Critical,Wed May 13 12:51:38 EET 2026
76,20200615,1,4,87.6,65,99.0,Critical,Wed May 13 12:51:38 EET 2026
77,20200622,1,4,77.2,6,99.0,Critical,Wed May 13 12:51:38 EET 2026
78,20200629,1,4,49.2,17,81.6,Congested,Wed May 13 12:51:38 EET 2026
79,20200706,1,4,60.1,8,99.0,Critical,Wed May 13 12:51:38 EET 2026
80,20200713,1,4,80.1,27,99.0,Critical,Wed May 13 12:51:38 EET 2026
81,20200720,1,4,57.3,24,99.0,Critical,Wed May 13 12:51:38 EET 2026
82,20200727,1,4,103.2,80,99.0,Critical,Wed May 13 12:51:38 EET 2026
83,20200803,1,4,99.6,95,99.0,Critical,Wed May 13 12:51:38 EET 2026
84,20200810,1,4,73.8,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
85,20200817,1,4,74.6,42,99.0,Critical,Wed May 13 12:51:38 EET 2026
86,20200824,1,4,102.3,65,99.0,Critical,Wed May 13 12:51:38 EET 2026
87,20200831,1,4,128.1,147,99.0,Critical,Wed May 13 12:51:38 EET 2026
88,20200907,1,4,126.1,88,99.0,Critical,Wed May 13 12:51:38 EET 2026
89,20200914,1,4,117.8,34,99.0,Critical,Wed May 13 12:51:38 EET 2026
90,20200921,1,4,135.0,47,99.0,Critical,Wed May 13 12:51:38 EET 2026
91,20200928,1,4,68.6,11,99.0,Critical,Wed May 13 12:51:38 EET 2026
92,20201005,1,4,81.1,24,99.0,Critical,Wed May 13 12:51:38 EET 2026
93,20201012,1,4,122.1,61,99.0,Critical,Wed May 13 12:51:38 EET 2026
94,20201019,1,4,110.5,71,99.0,Critical,Wed May 13 12:51:38 EET 2026
95,20201026,1,4,54.4,30,97.4,Critical,Wed May 13 12:51:38 EET 2026
96,20201102,1,4,172.7,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
97,20201109,1,4,97.2,45,99.0,Critical,Wed May 13 12:51:38 EET 2026
98,20201116,1,4,151.4,75,99.0,Critical,Wed May 13 12:51:38 EET 2026
99,20201123,1,4,126.0,39,99.0,Critical,Wed May 13 12:51:38 EET 2026
100,20201130,1,4,96.5,0,99.0,Critical,Wed May 13 12:51:38 EET 2026
101,20201207,1,4,118.2,66,99.0,Critical,Wed May 13 12:51:38 EET 2026
102,20201214,1,4,144.3,105,99.0,Critical,Wed May 13 12:51:38 EET 2026
103,20201221,1,4,131.4,55,99.0,Critical,Wed May 13 12:51:38 EET 2026
104,20201228,1,4,106.9,74,99.0,Critical,Wed May 13 12:51:38 EET 2026
105,20210104,1,4,202.6,174,99.0,Critical,Wed May 13 12:51:38 EET 2026
106,20210111,1,4,185.0,174,99.0,Critical,Wed May 13 12:51:38 EET 2026
107,20210118,1,4,430.0,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
108,20210125,1,4,310.9,113,99.0,Critical,Wed May 13 12:51:38 EET 2026
109,20210201,1,4,222.4,119,99.0,Critical,Wed May 13 12:51:38 EET 2026
110,20210208,1,4,142.7,13,99.0,Critical,Wed May 13 12:51:38 EET 2026
111,20210215,1,4,244.4,147,99.0,Critical,Wed May 13 12:51:38 EET 2026
112,20210222,1,4,198.0,74,99.0,Critical,Wed May 13 12:51:38 EET 2026
113,20210301,1,4,100.8,62,99.0,Critical,Wed May 13 12:51:38 EET 2026
114,20210308,1,4,169.6,0,99.0,Critical,Wed May 13 12:51:38 EET 2026
115,20210315,1,4,87.1,61,99.0,Critical,Wed May 13 12:51:38 EET 2026
116,20210322,1,4,232.8,119,99.0,Critical,Wed May 13 12:51:38 EET 2026
117,20210329,1,4,317.4,83,99.0,Critical,Wed May 13 12:51:38 EET 2026
118,20210405,1,4,97.8,60,99.0,Critical,Wed May 13 12:51:38 EET 2026
119,20210412,1,4,363.6,198,99.0,Critical,Wed May 13 12:51:38 EET 2026
120,20210419,1,4,145.5,37,99.0,Critical,Wed May 13 12:51:38 EET 2026
121,20210426,1,4,135.7,100,99.0,Critical,Wed May 13 12:51:38 EET 2026
122,20210503,1,4,242.4,181,99.0,Critical,Wed May 13 12:51:38 EET 2026
123,20210510,1,4,228.2,149,99.0,Critical,Wed May 13 12:51:38 EET 2026
124,20210517,1,4,243.4,165,99.0,Critical,Wed May 13 12:51:38 EET 2026
125,20210524,1,4,330.9,189,99.0,Critical,Wed May 13 12:51:38 EET 2026
126,20210531,1,4,162.3,138,99.0,Critical,Wed May 13 12:51:38 EET 2026
127,20210607,1,4,323.2,89,99.0,Critical,Wed May 13 12:51:38 EET 2026
128,20210614,1,4,280.8,46,99.0,Critical,Wed May 13 12:51:38 EET 2026
129,20210621,1,4,158.5,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
130,20210628,1,4,201.1,147,99.0,Critical,Wed May 13 12:51:38 EET 2026
131,20210705,1,4,153.4,50,99.0,Critical,Wed May 13 12:51:38 EET 2026
132,20210712,1,4,161.7,74,99.0,Critical,Wed May 13 12:51:38 EET 2026
133,20210719,1,4,145.5,71,99.0,Critical,Wed May 13 12:51:38 EET 2026
134,20210726,1,4,197.2,98,99.0,Critical,Wed May 13 12:51:38 EET 2026
135,20210802,1,4,176.8,78,99.0,Critical,Wed May 13 12:51:38 EET 2026
136,20210809,1,4,255.2,122,99.0,Critical,Wed May 13 12:51:38 EET 2026
137,20210816,1,4,359.8,165,99.0,Critical,Wed May 13 12:51:38 EET 2026
138,20210823,1,4,226.6,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
139,20210830,1,4,337.4,98,99.0,Critical,Wed May 13 12:51:38 EET 2026
140,20210906,1,4,224.5,58,99.0,Critical,Wed May 13 12:51:38 EET 2026
141,20210913,1,4,134.7,43,99.0,Critical,Wed May 13 12:51:38 EET 2026
142,20210920,1,4,170.3,90,99.0,Critical,Wed May 13 12:51:38 EET 2026
143,20210927,1,4,200.1,67,99.0,Critical,Wed May 13 12:51:38 EET 2026
144,20211004,1,4,167.5,104,99.0,Critical,Wed May 13 12:51:38 EET 2026
145,20211011,1,4,377.3,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
146,20211018,1,4,330.2,146,99.0,Critical,Wed May 13 12:51:38 EET 2026
147,20211025,1,4,111.3,59,99.0,Critical,Wed May 13 12:51:38 EET 2026
148,20211101,1,4,337.4,7,99.0,Critical,Wed May 13 12:51:38 EET 2026
149,20211108,1,4,196.6,80,99.0,Critical,Wed May 13 12:51:38 EET 2026
150,20211115,1,4,245.9,131,99.0,Critical,Wed May 13 12:51:38 EET 2026
151,20211122,1,4,284.2,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
152,20211129,1,4,219.4,100,99.0,Critical,Wed May 13 12:51:38 EET 2026
153,20211206,1,4,227.6,107,99.0,Critical,Wed May 13 12:51:38 EET 2026
154,20211213,1,4,195.7,42,99.0,Critical,Wed May 13 12:51:38 EET 2026
155,20211220,1,4,211.2,114,99.0,Critical,Wed May 13 12:51:38 EET 2026
156,20211227,1,4,216.4,177,99.0,Critical,Wed May 13 12:51:38 EET 2026
157,20220103,1,4,125.3,51,99.0,Critical,Wed May 13 12:51:38 EET 2026
158,20220110,1,4,259.6,47,99.0,Critical,Wed May 13 12:51:38 EET 2026
159,20220117,1,4,250.9,96,99.0,Critical,Wed May 13 12:51:38 EET 2026
160,20220124,1,4,112.5,49,99.0,Critical,Wed May 13 12:51:38 EET 2026
161,20220131,1,4,115.7,76,99.0,Critical,Wed May 13 12:51:38 EET 2026
162,20220207,1,4,202.9,160,99.0,Critical,Wed May 13 12:51:38 EET 2026
163,20220214,1,4,142.1,97,99.0,Critical,Wed May 13 12:51:38 EET 2026
164,20220221,1,4,91.9,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
165,20220228,1,4,181.0,105,99.0,Critical,Wed May 13 12:51:38 EET 2026
166,20220307,1,4,121.3,11,99.0,Critical,Wed May 13 12:51:38 EET 2026
167,20220314,1,4,127.0,41,99.0,Critical,Wed May 13 12:51:38 EET 2026
168,20220321,1,4,191.4,132,99.0,Critical,Wed May 13 12:51:38 EET 2026
169,20220328,1,4,138.8,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
170,20220404,1,4,176.5,67,99.0,Critical,Wed May 13 12:51:38 EET 2026
171,20220411,1,4,234.6,78,99.0,Critical,Wed May 13 12:51:38 EET 2026
172,20220418,1,4,167.7,87,99.0,Critical,Wed May 13 12:51:38 EET 2026
173,20220425,1,4,125.7,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
174,20220502,1,4,118.0,43,99.0,Critical,Wed May 13 12:51:38 EET 2026
175,20220509,1,4,176.8,76,99.0,Critical,Wed May 13 12:51:38 EET 2026
176,20220516,1,4,138.2,102,99.0,Critical,Wed May 13 12:51:38 EET 2026
177,20220523,1,4,115.6,60,99.0,Critical,Wed May 13 12:51:38 EET 2026
178,20220530,1,4,162.4,25,99.0,Critical,Wed May 13 12:51:38 EET 2026
179,20220606,1,4,131.7,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
180,20220613,1,4,96.3,66,99.0,Critical,Wed May 13 12:51:38 EET 2026
181,20220620,1,4,94.1,54,99.0,Critical,Wed May 13 12:51:38 EET 2026
182,20220627,1,4,149.8,70,99.0,Critical,Wed May 13 12:51:38 EET 2026
183,20220704,1,4,165.2,185,99.0,Critical,Wed May 13 12:51:38 EET 2026
184,20220711,1,4,364.2,91,99.0,Critical,Wed May 13 12:51:38 EET 2026
185,20220718,1,4,321.5,179,99.0,Critical,Wed May 13 12:51:38 EET 2026
186,20220725,1,4,258.9,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
187,20220801,1,4,223.0,53,99.0,Critical,Wed May 13 12:51:38 EET 2026
188,20220808,1,4,344.6,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
189,20220815,1,4,410.4,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
190,20220822,1,4,267.3,142,99.0,Critical,Wed May 13 12:51:38 EET 2026
191,20220829,1,4,175.2,115,99.0,Critical,Wed May 13 12:51:38 EET 2026
192,20220905,1,4,196.5,36,99.0,Critical,Wed May 13 12:51:38 EET 2026
193,20220912,1,4,277.6,178,99.0,Critical,Wed May 13 12:51:38 EET 2026
194,20220919,1,4,197.3,5,99.0,Critical,Wed May 13 12:51:38 EET 2026
195,20220926,1,4,183.1,66,99.0,Critical,Wed May 13 12:51:38 EET 2026
196,20221003,1,4,298.4,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
197,20221010,1,4,272.1,156,99.0,Critical,Wed May 13 12:51:38 EET 2026
198,20221017,1,4,241.7,100,99.0,Critical,Wed May 13 12:51:38 EET 2026
199,20221024,1,4,264.7,88,99.0,Critical,Wed May 13 12:51:38 EET 2026
200,20221031,1,4,365.2,189,99.0,Critical,Wed May 13 12:51:38 EET 2026
201,20221107,1,4,230.1,34,99.0,Critical,Wed May 13 12:51:38 EET 2026
202,20221114,1,4,240.8,122,99.0,Critical,Wed May 13 12:51:38 EET 2026
203,20221121,1,4,190.0,120,99.0,Critical,Wed May 13 12:51:38 EET 2026
204,20221128,1,4,272.1,0,99.0,Critical,Wed May 13 12:51:38 EET 2026
205,20221205,1,4,436.8,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
206,20221212,1,4,219.2,121,99.0,Critical,Wed May 13 12:51:38 EET 2026
207,20221219,1,4,222.2,161,99.0,Critical,Wed May 13 12:51:38 EET 2026
208,20221226,1,4,181.6,76,99.0,Critical,Wed May 13 12:51:38 EET 2026
209,20230102,1,5,81.5,62,99.0,Critical,Wed May 13 12:51:38 EET 2026
210,20230109,1,5,39.1,33,66.1,Busy,Wed May 13 12:51:38 EET 2026
211,20230116,1,5,91.6,74,99.0,Critical,Wed May 13 12:51:38 EET 2026
212,20230123,1,5,58.8,32,99.0,Critical,Wed May 13 12:51:38 EET 2026
213,20230130,1,5,72.8,57,99.0,Critical,Wed May 13 12:51:38 EET 2026
214,20230206,1,5,56.4,0,89.3,Congested,Wed May 13 12:51:38 EET 2026
215,20230213,1,5,69.4,36,99.0,Critical,Wed May 13 12:51:38 EET 2026
216,20230220,1,5,44.2,21,77.9,Busy,Wed May 13 12:51:38 EET 2026
217,20230227,1,5,61.2,6,99.0,Critical,Wed May 13 12:51:38 EET 2026
218,20230306,1,5,100.9,49,99.0,Critical,Wed May 13 12:51:38 EET 2026
219,20230313,1,5,60.3,21,99.0,Critical,Wed May 13 12:51:38 EET 2026
220,20230320,1,5,49.9,23,84.1,Congested,Wed May 13 12:51:38 EET 2026
221,20230327,1,5,59.4,52,99.0,Critical,Wed May 13 12:51:38 EET 2026
222,20230403,1,5,43.7,16,76.5,Busy,Wed May 13 12:51:38 EET 2026
223,20230410,1,5,64.2,54,99.0,Critical,Wed May 13 12:51:38 EET 2026
224,20230417,1,5,59.9,65,99.0,Critical,Wed May 13 12:51:38 EET 2026
225,20230424,1,5,44.9,48,81.1,Congested,Wed May 13 12:51:38 EET 2026
226,20230501,1,5,83.0,55,99.0,Critical,Wed May 13 12:51:38 EET 2026
227,20230508,1,5,56.8,21,90.6,Congested,Wed May 13 12:51:38 EET 2026
228,20230515,1,5,56.8,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
229,20230522,1,5,54.7,28,98.7,Critical,Wed May 13 12:51:38 EET 2026
230,20230529,1,5,51.9,39,91.4,Congested,Wed May 13 12:51:38 EET 2026
231,20230605,1,5,44.7,39,79.1,Busy,Wed May 13 12:51:38 EET 2026
232,20230612,1,5,58.2,29,99.0,Critical,Wed May 13 12:51:38 EET 2026
233,20230619,1,5,49.2,27,84.9,Congested,Wed May 13 12:51:38 EET 2026
234,20230626,1,5,44.7,26,81.8,Congested,Wed May 13 12:51:38 EET 2026
235,20230703,1,5,62.9,29,99.0,Critical,Wed May 13 12:51:38 EET 2026
236,20230710,1,5,83.2,39,99.0,Critical,Wed May 13 12:51:38 EET 2026
237,20230717,1,5,63.9,25,99.0,Critical,Wed May 13 12:51:38 EET 2026
238,20230724,1,5,75.9,64,99.0,Critical,Wed May 13 12:51:38 EET 2026
239,20230731,1,5,48.5,23,82.2,Congested,Wed May 13 12:51:38 EET 2026
240,20230807,1,5,54.4,20,91.6,Congested,Wed May 13 12:51:38 EET 2026
241,20230814,1,5,81.6,44,99.0,Critical,Wed May 13 12:51:38 EET 2026
242,20230821,1,5,56.5,28,99.0,Critical,Wed May 13 12:51:38 EET 2026
243,20230828,1,5,102.1,29,99.0,Critical,Wed May 13 12:51:38 EET 2026
244,20230904,1,5,41.0,28,76.2,Busy,Wed May 13 12:51:38 EET 2026
245,20230911,1,5,60.6,4,99.0,Critical,Wed May 13 12:51:38 EET 2026
246,20230918,1,5,54.1,12,94.6,Congested,Wed May 13 12:51:38 EET 2026
247,20230925,1,5,54.0,36,89.0,Congested,Wed May 13 12:51:38 EET 2026
248,20231002,1,5,63.1,46,99.0,Critical,Wed May 13 12:51:38 EET 2026
249,20231009,1,5,76.8,23,99.0,Critical,Wed May 13 12:51:38 EET 2026
250,20231016,1,5,84.7,28,99.0,Critical,Wed May 13 12:51:38 EET 2026
251,20231023,1,5,47.1,17,84.8,Congested,Wed May 13 12:51:38 EET 2026
252,20231030,1,5,59.7,30,99.0,Critical,Wed May 13 12:51:38 EET 2026
253,20231106,1,5,44.0,13,77.1,Busy,Wed May 13 12:51:38 EET 2026
254,20231113,1,5,91.0,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
255,20231120,1,5,51.4,23,85.8,Congested,Wed May 13 12:51:38 EET 2026
256,20231127,1,5,66.0,36,99.0,Critical,Wed May 13 12:51:38 EET 2026
257,20231204,1,5,64.5,41,99.0,Critical,Wed May 13 12:51:38 EET 2026
258,20231211,1,5,50.7,30,90.5,Congested,Wed May 13 12:51:38 EET 2026
259,20231218,1,5,61.5,21,99.0,Critical,Wed May 13 12:51:38 EET 2026
260,20231225,1,5,83.4,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
261,20240101,1,5,57.9,72,99.0,Critical,Wed May 13 12:51:38 EET 2026
262,20240108,1,5,55.0,32,98.7,Critical,Wed May 13 12:51:38 EET 2026
263,20240115,1,5,94.7,53,99.0,Critical,Wed May 13 12:51:38 EET 2026
264,20240122,1,5,67.4,31,99.0,Critical,Wed May 13 12:51:38 EET 2026
265,20240129,1,5,118.5,51,99.0,Critical,Wed May 13 12:51:38 EET 2026
266,20240205,1,5,60.0,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
267,20240212,1,5,51.7,30,86.1,Congested,Wed May 13 12:51:38 EET 2026
268,20240219,1,5,48.3,9,88.0,Congested,Wed May 13 12:51:38 EET 2026
269,20240226,1,5,77.5,39,99.0,Critical,Wed May 13 12:51:38 EET 2026
270,20240304,1,5,75.4,41,99.0,Critical,Wed May 13 12:51:38 EET 2026
271,20240311,1,5,47.5,5,79.4,Busy,Wed May 13 12:51:38 EET 2026
272,20240318,1,5,72.2,11,99.0,Critical,Wed May 13 12:51:38 EET 2026
273,20240325,1,5,55.6,8,90.6,Congested,Wed May 13 12:51:38 EET 2026
274,20240401,1,5,62.1,12,99.0,Critical,Wed May 13 12:51:38 EET 2026
275,20240408,1,5,43.9,19,80.1,Congested,Wed May 13 12:51:38 EET 2026
276,20240415,1,5,52.6,41,90.0,Congested,Wed May 13 12:51:38 EET 2026
277,20240422,1,5,67.6,28,99.0,Critical,Wed May 13 12:51:38 EET 2026
278,20240429,1,5,78.4,28,99.0,Critical,Wed May 13 12:51:38 EET 2026
279,20240506,1,5,72.4,17,99.0,Critical,Wed May 13 12:51:38 EET 2026
280,20240513,1,5,43.7,35,84.7,Congested,Wed May 13 12:51:38 EET 2026
281,20240520,1,5,86.8,45,99.0,Critical,Wed May 13 12:51:38 EET 2026
282,20240527,1,5,64.7,22,99.0,Critical,Wed May 13 12:51:38 EET 2026
283,20240603,1,5,70.8,9,99.0,Critical,Wed May 13 12:51:38 EET 2026
284,20240610,1,5,46.4,33,78.5,Busy,Wed May 13 12:51:38 EET 2026
285,20240617,1,5,79.9,54,99.0,Critical,Wed May 13 12:51:38 EET 2026
286,20240624,1,5,80.2,23,99.0,Critical,Wed May 13 12:51:38 EET 2026
287,20240701,1,5,68.6,40,99.0,Critical,Wed May 13 12:51:38 EET 2026
288,20240708,1,5,75.5,41,99.0,Critical,Wed May 13 12:51:38 EET 2026
289,20240715,1,5,42.8,31,72.6,Busy,Wed May 13 12:51:38 EET 2026
290,20240722,1,5,51.7,47,86.0,Congested,Wed May 13 12:51:38 EET 2026
291,20240729,1,5,62.4,14,99.0,Critical,Wed May 13 12:51:38 EET 2026
292,20240805,1,5,53.7,32,82.1,Congested,Wed May 13 12:51:38 EET 2026
293,20240812,1,5,56.2,16,99.0,Critical,Wed May 13 12:51:38 EET 2026
294,20240819,1,5,58.1,23,93.1,Congested,Wed May 13 12:51:38 EET 2026
295,20240826,1,5,77.2,0,99.0,Critical,Wed May 13 12:51:38 EET 2026
296,20240902,1,5,93.9,65,99.0,Critical,Wed May 13 12:51:38 EET 2026
297,20240909,1,5,50.5,37,82.1,Congested,Wed May 13 12:51:38 EET 2026
298,20240916,1,5,54.9,13,94.3,Congested,Wed May 13 12:51:38 EET 2026
299,20240923,1,5,53.7,34,90.7,Congested,Wed May 13 12:51:38 EET 2026
300,20240930,1,5,67.8,32,99.0,Critical,Wed May 13 12:51:38 EET 2026
301,20241007,1,5,69.7,70,99.0,Critical,Wed May 13 12:51:38 EET 2026
302,20241014,1,5,131.5,82,99.0,Critical,Wed May 13 12:51:38 EET 2026
303,20241021,1,5,47.2,18,79.8,Busy,Wed May 13 12:51:38 EET 2026
304,20241028,1,5,58.2,31,99.0,Critical,Wed May 13 12:51:38 EET 2026
305,20241104,1,5,58.3,19,99.0,Critical,Wed May 13 12:51:38 EET 2026
306,20241111,1,5,40.7,17,71.1,Busy,Wed May 13 12:51:38 EET 2026
307,20241118,1,5,76.3,43,99.0,Critical,Wed May 13 12:51:38 EET 2026
308,20241125,1,5,51.3,22,89.0,Congested,Wed May 13 12:51:38 EET 2026
309,20241202,1,5,37.9,15,65.9,Busy,Wed May 13 12:51:38 EET 2026
310,20241209,1,5,57.1,35,94.7,Congested,Wed May 13 12:51:38 EET 2026
311,20241216,1,5,55.7,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
312,20241223,1,5,42.1,18,74.0,Busy,Wed May 13 12:51:38 EET 2026
313,20241230,1,5,69.5,18,99.0,Critical,Wed May 13 12:51:38 EET 2026
314,20190107,2,3,43.0,12,86.9,Congested,Wed May 13 12:51:38 EET 2026
315,20190114,2,3,34.6,12,67.0,Busy,Wed May 13 12:51:38 EET 2026
316,20190121,2,3,37.7,0,78.2,Busy,Wed May 13 12:51:38 EET 2026
317,20190128,2,3,40.9,7,84.0,Congested,Wed May 13 12:51:38 EET 2026
318,20190204,2,3,39.8,21,80.6,Congested,Wed May 13 12:51:38 EET 2026
319,20190211,2,3,30.4,10,62.5,Busy,Wed May 13 12:51:38 EET 2026
320,20190218,2,3,41.7,17,81.8,Congested,Wed May 13 12:51:38 EET 2026
321,20190225,2,3,39.3,22,88.2,Congested,Wed May 13 12:51:38 EET 2026
322,20190304,2,3,37.6,22,77.1,Busy,Wed May 13 12:51:38 EET 2026
