trade_fact_sk,date_key,exporter_geo_sk,importer_geo_sk,era_sk,trade_category_sk,trade_value_bn_usd,yoy_growth_pct,effective_tariff_rate_pct,trade_active,supply_chain_integrated,concentration_risk
61,20080101,1,6,2,26,35.4,5.89,2.5,1,0,0.337
62,20080101,1,6,2,28,35.4,5.89,2.5,1,0,0.337
63,20080101,1,6,2,33,35.4,5.89,2.5,1,0,0.337
64,20090101,1,6,2,1,32.05,-9.46,2.5,1,0,0.392
65,20090101,1,6,2,3,32.05,-9.46,2.5,1,0,0.392
66,20090101,1,6,2,5,32.05,-9.46,2.5,1,0,0.392
67,20090101,1,6,2,17,32.05,-9.46,2.5,1,0,0.392
68,20090101,1,6,2,26,32.05,-9.46,2.5,1,0,0.392
69,20090101,1,6,2,28,32.05,-9.46,2.5,1,0,0.392
70,20090101,1,6,2,33,32.05,-9.46,2.5,1,0,0.392
71,20100101,1,6,3,1,36.23,13.04,2.5,1,0,0.331
72,20100101,1,6,3,3,36.23,13.04,2.5,1,0,0.331
73,20100101,1,6,3,5,36.23,13.04,2.5,1,0,0.331
74,20100101,1,6,3,17,36.23,13.04,2.5,1,0,0.331
75,20100101,1,6,3,26,36.23,13.04,2.5,1,0,0.331
76,20100101,1,6,3,28,36.23,13.04,2.5,1,0,0.331
77,20100101,1,6,3,33,36.23,13.04,2.5,1,0,0.331
78,20110101,1,6,3,1,39.41,8.78,2.5,1,0,0.195
79,20110101,1,6,3,3,39.41,8.78,2.5,1,0,0.195
80,20110101,1,6,3,5,39.41,8.78,2.5,1,0,0.195
81,20110101,1,6,3,17,39.41,8.78,2.5,1,0,0.195
82,20110101,1,6,3,26,39.41,8.78,2.5,1,0,0.195
83,20110101,1,6,3,28,39.41,8.78,2.5,1,0,0.195
84,20110101,1,6,3,33,39.41,8.78,2.5,1,0,0.195
85,20120101,1,6,3,1,36.93,-6.29,2.5,1,0,0.216
86,20120101,1,6,3,3,36.93,-6.29,2.5,1,0,0.216
87,20120101,1,6,3,5,36.93,-6.29,2.5,1,0,0.216
88,20120101,1,6,3,17,36.93,-6.29,2.5,1,0,0.216
89,20120101,1,6,3,26,36.93,-6.29,2.5,1,0,0.216
90,20120101,1,6,3,28,36.93,-6.29,2.5,1,0,0.216
91,20120101,1,6,3,33,36.93,-6.29,2.5,1,0,0.216
92,20130101,1,6,3,1,37.95,2.76,2.5,1,0,0.263
93,20130101,1,6,3,3,37.95,2.76,2.5,1,0,0.263
94,20130101,1,6,3,5,37.95,2.76,2.5,1,0,0.263
95,20130101,1,6,3,17,37.95,2.76,2.5,1,0,0.263
96,20130101,1,6,3,26,37.95,2.76,2.5,1,0,0.263
97,20130101,1,6,3,28,37.95,2.76,2.5,1,0,0.263
98,20130101,1,6,3,33,37.95,2.76,2.5,1,0,0.263
99,20140101,1,6,3,1,36.99,-2.53,2.5,1,0,0.191
100,20140101,1,6,3,3,36.99,-2.53,2.5,1,0,0.191
101,20140101,1,6,3,5,36.99,-2.53,2.5,1,0,0.191
102,20140101,1,6,3,17,36.99,-2.53,2.5,1,0,0.191
103,20140101,1,6,3,26,36.99,-2.53,2.5,1,0,0.191
104,20140101,1,6,3,28,36.99,-2.53,2.5,1,0,0.191
105,20140101,1,6,3,33,36.99,-2.53,2.5,1,0,0.191
106,20150101,1,6,3,1,38.89,5.14,2.5,1,0,0.359
107,20150101,1,6,3,3,38.89,5.14,2.5,1,0,0.359
108,20150101,1,6,3,5,38.89,5.14,2.5,1,0,0.359
109,20150101,1,6,3,17,38.89,5.14,2.5,1,0,0.359
110,20150101,1,6,3,26,38.89,5.14,2.5,1,0,0.359
111,20150101,1,6,3,28,38.89,5.14,2.5,1,0,0.359
112,20150101,1,6,3,33,38.89,5.14,2.5,1,0,0.359
113,20160101,1,6,3,1,37.14,-4.5,2.5,1,0,0.449
114,20160101,1,6,3,3,37.14,-4.5,2.5,1,0,0.449
115,20160101,1,6,3,5,37.14,-4.5,2.5,1,0,0.449
116,20160101,1,6,3,17,37.14,-4.5,2.5,1,0,0.449
117,20160101,1,6,3,26,37.14,-4.5,2.5,1,0,0.449
118,20160101,1,6,3,28,37.14,-4.5,2.5,1,0,0.449
119,20160101,1,6,3,33,37.14,-4.5,2.5,1,0,0.449
120,20170101,1,6,3,1,35.13,-5.41,2.5,1,0,0.276
121,20170101,1,6,3,3,35.13,-5.41,2.5,1,0,0.276
122,20170101,1,6,3,5,35.13,-5.41,2.5,1,0,0.276
123,20170101,1,6,3,17,35.13,-5.41,2.5,1,0,0.276
124,20170101,1,6,3,26,35.13,-5.41,2.5,1,0,0.276
125,20170101,1,6,3,28,35.13,-5.41,2.5,1,0,0.276
126,20170101,1,6,3,33,35.13,-5.41,2.5,1,0,0.276
127,20180101,1,6,3,1,37.19,5.86,2.5,1,0,0.139
128,20180101,1,6,3,3,37.19,5.86,2.5,1,0,0.139
129,20180101,1,6,3,5,37.19,5.86,2.5,1,0,0.139
130,20180101,1,6,3,17,37.19,5.86,2.5,1,0,0.139
131,20180101,1,6,3,26,37.19,5.86,2.5,1,0,0.139
132,20180101,1,6,3,28,37.19,5.86,2.5,1,0,0.139
133,20180101,1,6,3,33,37.19,5.86,2.5,1,0,0.139
134,20190101,1,6,3,1,34.57,-7.04,2.5,1,0,0.251
135,20190101,1,6,3,3,34.57,-7.04,2.5,1,0,0.251
136,20190101,1,6,3,5,34.57,-7.04,2.5,1,0,0.251
137,20190101,1,6,3,17,34.57,-7.04,2.5,1,0,0.251
138,20190101,1,6,3,26,34.57,-7.04,2.5,1,0,0.251
139,20190101,1,6,3,28,34.57,-7.04,2.5,1,0,0.251
140,20190101,1,6,3,33,34.57,-7.04,2.5,1,0,0.251
141,20200101,1,6,4,1,32.47,-6.07,2.5,1,0,0.309
142,20200101,1,6,4,3,32.47,-6.07,2.5,1,0,0.309
143,20200101,1,6,4,5,32.47,-6.07,2.5,1,0,0.309
144,20200101,1,6,4,17,32.47,-6.07,2.5,1,0,0.309
145,20200101,1,6,4,26,32.47,-6.07,2.5,1,0,0.309
146,20200101,1,6,4,28,32.47,-6.07,2.5,1,0,0.309
147,20200101,1,6,4,33,32.47,-6.07,2.5,1,0,0.309
148,20210101,1,6,4,1,40.73,25.44,2.5,1,0,0.44
149,20210101,1,6,4,3,40.73,25.44,2.5,1,0,0.44
150,20210101,1,6,4,5,40.73,25.44,2.5,1,0,0.44
151,20210101,1,6,4,17,40.73,25.44,2.5,1,0,0.44
152,20210101,1,6,4,26,40.73,25.44,2.5,1,0,0.44
153,20210101,1,6,4,28,40.73,25.44,2.5,1,0,0.44
154,20210101,1,6,4,33,40.73,25.44,2.5,1,0,0.44
155,20220101,1,6,4,1,42.89,5.3,2.5,1,0,0.347
156,20220101,1,6,4,3,42.89,5.3,2.5,1,0,0.347
157,20220101,1,6,4,5,42.89,5.3,2.5,1,0,0.347
158,20220101,1,6,4,17,42.89,5.3,2.5,1,0,0.347
159,20220101,1,6,4,26,42.89,5.3,2.5,1,0,0.347
160,20220101,1,6,4,28,42.89,5.3,2.5,1,0,0.347
161,20220101,1,6,4,33,42.89,5.3,2.5,1,0,0.347
162,20230101,1,6,5,1,40.14,-6.41,2.5,1,0,0.347
163,20230101,1,6,5,3,40.14,-6.41,2.5,1,0,0.347
164,20230101,1,6,5,5,40.14,-6.41,2.5,1,0,0.347
165,20230101,1,6,5,17,40.14,-6.41,2.5,1,0,0.347
166,20230101,1,6,5,26,40.14,-6.41,2.5,1,0,0.347
167,20230101,1,6,5,28,40.14,-6.41,2.5,1,0,0.347
168,20230101,1,6,5,33,40.14,-6.41,2.5,1,0,0.347
169,20240101,1,6,5,1,40.41,0.67,2.5,1,0,0.398
170,20240101,1,6,5,3,40.41,0.67,2.5,1,0,0.398
171,20240101,1,6,5,5,40.41,0.67,2.5,1,0,0.398
172,20240101,1,6,5,17,40.41,0.67,2.5,1,0,0.398
173,20240101,1,6,5,26,40.41,0.67,2.5,1,0,0.398
174,20240101,1,6,5,28,40.41,0.67,2.5,1,0,0.398
175,20240101,1,6,5,33,40.41,0.67,2.5,1,0,0.398
176,20000101,2,8,1,2,9.48,0.0,2.5,1,0,0.522
177,20000101,2,8,1,27,9.48,0.0,2.5,1,0,0.522
178,20010101,2,8,1,2,9.28,-2.11,2.5,1,0,0.393
179,20010101,2,8,1,27,9.28,-2.11,2.5,1,0,0.393
180,20020101,2,8,1,2,10.44,12.5,2.5,1,0,0.334
181,20020101,2,8,1,27,10.44,12.5,2.5,1,0,0.334
182,20030101,2,8,1,2,9.89,-5.27,2.5,1,0,0.241
183,20030101,2,8,1,27,9.89,-5.27,2.5,1,0,0.241
184,20040101,2,8,1,2,10.58,6.98,2.5,1,0,0.295
185,20040101,2,8,1,27,10.58,6.98,2.5,1,0,0.295
186,20050101,2,8,1,2,11.15,5.39,2.5,1,0,0.473
187,20050101,2,8,1,27,11.15,5.39,2.5,1,0,0.473
188,20060101,2,8,1,2,11.93,7.0,2.5,1,0,0.501
189,20060101,2,8,1,27,11.93,7.0,2.5,1,0,0.501
190,20070101,2,8,1,2,12.1,1.42,2.5,1,0,0.308
191,20070101,2,8,1,27,12.1,1.42,2.5,1,0,0.308
192,20080101,2,8,2,2,13.35,10.33,2.5,1,0,0.447
193,20080101,2,8,2,27,13.35,10.33,2.5,1,0,0.447
194,20090101,2,8,2,2,12.25,-8.24,2.5,1,0,0.285
195,20090101,2,8,2,27,12.25,-8.24,2.5,1,0,0.285
196,20100101,2,8,3,2,13.84,12.98,2.5,1,0,0.148
197,20100101,2,8,3,27,13.84,12.98,2.5,1,0,0.148
198,20110101,2,8,3,2,13.77,-0.51,2.5,1,0,0.189
199,20110101,2,8,3,27,13.77,-0.51,2.5,1,0,0.189
200,20120101,2,8,3,2,13.54,-1.67,2.5,1,0,0.486
201,20120101,2,8,3,27,13.54,-1.67,2.5,1,0,0.486
202,20130101,2,8,3,2,13.78,1.77,2.5,1,0,0.153
203,20130101,2,8,3,27,13.78,1.77,2.5,1,0,0.153
204,20140101,2,8,3,2,13.06,-5.22,2.5,1,0,0.436
205,20140101,2,8,3,27,13.06,-5.22,2.5,1,0,0.436
206,20150101,2,8,3,2,13.67,4.67,2.5,1,0,0.383
207,20150101,2,8,3,27,13.67,4.67,2.5,1,0,0.383
208,20160101,2,8,3,2,12.18,-10.9,2.5,1,0,0.494
209,20160101,2,8,3,27,12.18,-10.9,2.5,1,0,0.494
210,20170101,2,8,3,2,14.05,15.35,2.5,1,0,0.37
211,20170101,2,8,3,27,14.05,15.35,2.5,1,0,0.37
212,20180101,2,8,3,2,13.42,-4.48,2.5,1,0,0.41
213,20180101,2,8,3,27,13.42,-4.48,2.5,1,0,0.41
214,20190101,2,8,3,2,14.1,5.07,2.5,1,0,0.38
215,20190101,2,8,3,27,14.1,5.07,2.5,1,0,0.38
216,20200101,2,8,4,2,12.14,-13.9,2.5,1,0,0.396
217,20200101,2,8,4,27,12.14,-13.9,2.5,1,0,0.396
218,20210101,2,8,4,2,14.35,18.2,2.5,1,0,0.35
219,20210101,2,8,4,27,14.35,18.2,2.5,1,0,0.35
220,20220101,2,8,4,2,13.38,-6.76,2.5,1,0,0.413
221,20220101,2,8,4,27,13.38,-6.76,2.5,1,0,0.413
222,20230101,2,8,5,2,15.05,12.48,2.5,1,0,0.472
223,20230101,2,8,5,27,15.05,12.48,2.5,1,0,0.472
224,20240101,2,8,5,2,14.92,-0.86,2.5,1,0,0.344
225,20240101,2,8,5,27,14.92,-0.86,2.5,1,0,0.344
226,20000101,3,6,1,1,23.86,0.0,2.5,1,0,0.412
227,20000101,3,6,1,3,23.86,0.0,2.5,1,0,0.412
228,20000101,3,6,1,5,23.86,0.0,2.5,1,0,0.412
229,20000101,3,6,1,17,23.86,0.0,2.5,1,0,0.412
230,20000101,3,6,1,26,23.86,0.0,2.5,1,0,0.412
231,20000101,3,6,1,28,23.86,0.0,2.5,1,0,0.412
232,20000101,3,6,1,33,23.86,0.0,2.5,1,0,0.412
233,20010101,3,6,1,1,25.65,7.5,2.5,1,0,0.353
234,20010101,3,6,1,3,25.65,7.5,2.5,1,0,0.353
235,20010101,3,6,1,5,25.65,7.5,2.5,1,0,0.353
236,20010101,3,6,1,17,25.65,7.5,2.5,1,0,0.353
237,20010101,3,6,1,26,25.65,7.5,2.5,1,0,0.353
238,20010101,3,6,1,28,25.65,7.5,2.5,1,0,0.353
239,20010101,3,6,1,33,25.65,7.5,2.5,1,0,0.353
240,20020101,3,6,1,1,24.74,-3.55,2.5,1,0,0.296
241,20020101,3,6,1,3,24.74,-3.55,2.5,1,0,0.296
242,20020101,3,6,1,5,24.74,-3.55,2.5,1,0,0.296
243,20020101,3,6,1,17,24.74,-3.55,2.5,1,0,0.296
244,20020101,3,6,1,26,24.74,-3.55,2.5,1,0,0.296
245,20020101,3,6,1,28,24.74,-3.55,2.5,1,0,0.296
246,20020101,3,6,1,33,24.74,-3.55,2.5,1,0,0.296
247,20030101,3,6,1,1,26.51,7.15,2.5,1,0,0.22
248,20030101,3,6,1,3,26.51,7.15,2.5,1,0,0.22
249,20030101,3,6,1,5,26.51,7.15,2.5,1,0,0.22
250,20030101,3,6,1,17,26.51,7.15,2.5,1,0,0.22
251,20030101,3,6,1,26,26.51,7.15,2.5,1,0,0.22
252,20030101,3,6,1,28,26.51,7.15,2.5,1,0,0.22
253,20030101,3,6,1,33,26.51,7.15,2.5,1,0,0.22
254,20040101,3,6,1,1,27.28,2.9,2.5,1,0,0.213
255,20040101,3,6,1,3,27.28,2.9,2.5,1,0,0.213
256,20040101,3,6,1,5,27.28,2.9,2.5,1,0,0.213
257,20040101,3,6,1,17,27.28,2.9,2.5,1,0,0.213
258,20040101,3,6,1,26,27.28,2.9,2.5,1,0,0.213
259,20040101,3,6,1,28,27.28,2.9,2.5,1,0,0.213
260,20040101,3,6,1,33,27.28,2.9,2.5,1,0,0.213
261,20050101,3,6,1,1,29.76,9.09,2.5,1,0,0.392
262,20050101,3,6,1,3,29.76,9.09,2.5,1,0,0.392
263,20050101,3,6,1,5,29.76,9.09,2.5,1,0,0.392
264,20050101,3,6,1,17,29.76,9.09,2.5,1,0,0.392
265,20050101,3,6,1,26,29.76,9.09,2.5,1,0,0.392
266,20050101,3,6,1,28,29.76,9.09,2.5,1,0,0.392
267,20050101,3,6,1,33,29.76,9.09,2.5,1,0,0.392
268,20060101,3,6,1,1,28.72,-3.49,2.5,1,0,0.272
269,20060101,3,6,1,3,28.72,-3.49,2.5,1,0,0.272
270,20060101,3,6,1,5,28.72,-3.49,2.5,1,0,0.272
271,20060101,3,6,1,17,28.72,-3.49,2.5,1,0,0.272
272,20060101,3,6,1,26,28.72,-3.49,2.5,1,0,0.272
273,20060101,3,6,1,28,28.72,-3.49,2.5,1,0,0.272
274,20060101,3,6,1,33,28.72,-3.49,2.5,1,0,0.272
275,20070101,3,6,1,1,34.81,21.2,2.5,1,0,0.426
276,20070101,3,6,1,3,34.81,21.2,2.5,1,0,0.426
277,20070101,3,6,1,5,34.81,21.2,2.5,1,0,0.426
278,20070101,3,6,1,17,34.81,21.2,2.5,1,0,0.426
279,20070101,3,6,1,26,34.81,21.2,2.5,1,0,0.426
280,20070101,3,6,1,28,34.81,21.2,2.5,1,0,0.426
281,20070101,3,6,1,33,34.81,21.2,2.5,1,0,0.426
282,20080101,3,6,2,1,34.6,-0.6,2.5,1,0,0.27
283,20080101,3,6,2,3,34.6,-0.6,2.5,1,0,0.27
284,20080101,3,6,2,5,34.6,-0.6,2.5,1,0,0.27
285,20080101,3,6,2,17,34.6,-0.6,2.5,1,0,0.27
286,20080101,3,6,2,26,34.6,-0.6,2.5,1,0,0.27
287,20080101,3,6,2,28,34.6,-0.6,2.5,1,0,0.27
288,20080101,3,6,2,33,34.6,-0.6,2.5,1,0,0.27
289,20090101,3,6,2,1,30.25,-12.57,2.5,1,0,0.348
290,20090101,3,6,2,3,30.25,-12.57,2.5,1,0,0.348
291,20090101,3,6,2,5,30.25,-12.57,2.5,1,0,0.348
292,20090101,3,6,2,17,30.25,-12.57,2.5,1,0,0.348
293,20090101,3,6,2,26,30.25,-12.57,2.5,1,0,0.348
294,20090101,3,6,2,28,30.25,-12.57,2.5,1,0,0.348
295,20090101,3,6,2,33,30.25,-12.57,2.5,1,0,0.348
296,20100101,3,6,3,1,32.92,8.83,2.5,1,0,0.291
297,20100101,3,6,3,3,32.92,8.83,2.5,1,0,0.291
298,20100101,3,6,3,5,32.92,8.83,2.5,1,0,0.291
299,20100101,3,6,3,17,32.92,8.83,2.5,1,0,0.291
300,20100101,3,6,3,26,32.92,8.83,2.5,1,0,0.291
301,20100101,3,6,3,28,32.92,8.83,2.5,1,0,0.291
302,20100101,3,6,3,33,32.92,8.83,2.5,1,0,0.291
303,20110101,3,6,3,1,33.35,1.31,2.5,1,0,0.171
304,20110101,3,6,3,3,33.35,1.31,2.5,1,0,0.171
305,20110101,3,6,3,5,33.35,1.31,2.5,1,0,0.171
306,20110101,3,6,3,17,33.35,1.31,2.5,1,0,0.171
307,20110101,3,6,3,26,33.35,1.31,2.5,1,0,0.171
308,20110101,3,6,3,28,33.35,1.31,2.5,1,0,0.171
309,20110101,3,6,3,33,33.35,1.31,2.5,1,0,0.171
310,20120101,3,6,3,1,32.23,-3.36,2.5,1,0,0.326
311,20120101,3,6,3,3,32.23,-3.36,2.5,1,0,0.326
312,20120101,3,6,3,5,32.23,-3.36,2.5,1,0,0.326
313,20120101,3,6,3,17,32.23,-3.36,2.5,1,0,0.326
314,20120101,3,6,3,26,32.23,-3.36,2.5,1,0,0.326
315,20120101,3,6,3,28,32.23,-3.36,2.5,1,0,0.326
316,20120101,3,6,3,33,32.23,-3.36,2.5,1,0,0.326
317,20130101,3,6,3,1,32.85,1.92,2.5,1,0,0.314
318,20130101,3,6,3,3,32.85,1.92,2.5,1,0,0.314
319,20130101,3,6,3,5,32.85,1.92,2.5,1,0,0.314
320,20130101,3,6,3,17,32.85,1.92,2.5,1,0,0.314
321,20130101,3,6,3,26,32.85,1.92,2.5,1,0,0.314
322,20130101,3,6,3,28,32.85,1.92,2.5,1,0,0.314
323,20130101,3,6,3,33,32.85,1.92,2.5,1,0,0.314
324,20140101,3,6,3,1,31.87,-2.98,2.5,1,0,0.446
325,20140101,3,6,3,3,31.87,-2.98,2.5,1,0,0.446
326,20140101,3,6,3,5,31.87,-2.98,2.5,1,0,0.446
327,20140101,3,6,3,17,31.87,-2.98,2.5,1,0,0.446
328,20140101,3,6,3,26,31.87,-2.98,2.5,1,0,0.446
329,20140101,3,6,3,28,31.87,-2.98,2.5,1,0,0.446
330,20140101,3,6,3,33,31.87,-2.98,2.5,1,0,0.446
331,20150101,3,6,3,1,36.93,15.88,2.5,1,0,0.473
332,20150101,3,6,3,3,36.93,15.88,2.5,1,0,0.473
333,20150101,3,6,3,5,36.93,15.88,2.5,1,0,0.473
334,20150101,3,6,3,17,36.93,15.88,2.5,1,0,0.473
335,20150101,3,6,3,26,36.93,15.88,2.5,1,0,0.473
336,20150101,3,6,3,28,36.93,15.88,2.5,1,0,0.473
337,20150101,3,6,3,33,36.93,15.88,2.5,1,0,0.473
338,20160101,3,6,3,1,35.55,-3.74,2.5,1,0,0.425
339,20160101,3,6,3,3,35.55,-3.74,2.5,1,0,0.425
340,20160101,3,6,3,5,35.55,-3.74,2.5,1,0,0.425
341,20160101,3,6,3,17,35.55,-3.74,2.5,1,0,0.425
342,20160101,3,6,3,26,35.55,-3.74,2.5,1,0,0.425
343,20160101,3,6,3,28,35.55,-3.74,2.5,1,0,0.425
344,20160101,3,6,3,33,35.55,-3.74,2.5,1,0,0.425
345,20170101,3,6,3,1,34.34,-3.4,2.5,1,0,0.36
346,20170101,3,6,3,3,34.34,-3.4,2.5,1,0,0.36
347,20170101,3,6,3,5,34.34,-3.4,2.5,1,0,0.36
348,20170101,3,6,3,17,34.34,-3.4,2.5,1,0,0.36
349,20170101,3,6,3,26,34.34,-3.4,2.5,1,0,0.36
350,20170101,3,6,3,28,34.34,-3.4,2.5,1,0,0.36
351,20170101,3,6,3,33,34.34,-3.4,2.5,1,0,0.36
352,20180101,3,6,3,1,32.76,-4.6,2.5,1,0,0.433
353,20180101,3,6,3,3,32.76,-4.6,2.5,1,0,0.433
354,20180101,3,6,3,5,32.76,-4.6,2.5,1,0,0.433
355,20180101,3,6,3,17,32.76,-4.6,2.5,1,0,0.433
356,20180101,3,6,3,26,32.76,-4.6,2.5,1,0,0.433
357,20180101,3,6,3,28,32.76,-4.6,2.5,1,0,0.433
358,20180101,3,6,3,33,32.76,-4.6,2.5,1,0,0.433
359,20190101,3,6,3,1,34.85,6.38,2.5,1,0,0.294
360,20190101,3,6,3,3,34.85,6.38,2.5,1,0,0.294
361,20190101,3,6,3,5,34.85,6.38,2.5,1,0,0.294
362,20190101,3,6,3,17,34.85,6.38,2.5,1,0,0.294
363,20190101,3,6,3,26,34.85,6.38,2.5,1,0,0.294
364,20190101,3,6,3,28,34.85,6.38,2.5,1,0,0.294
365,20190101,3,6,3,33,34.85,6.38,2.5,1,0,0.294
366,20200101,3,6,4,1,31.93,-8.38,2.5,1,0,0.267
367,20200101,3,6,4,3,31.93,-8.38,2.5,1,0,0.267
368,20200101,3,6,4,5,31.93,-8.38,2.5,1,0,0.267
369,20200101,3,6,4,17,31.93,-8.38,2.5,1,0,0.267
370,20200101,3,6,4,26,31.93,-8.38,2.5,1,0,0.267
371,20200101,3,6,4,28,31.93,-8.38,2.5,1,0,0.267
372,20200101,3,6,4,33,31.93,-8.38,2.5,1,0,0.267
373,20210101,3,6,4,1,35.79,12.09,2.5,1,0,0.443
374,20210101,3,6,4,3,35.79,12.09,2.5,1,0,0.443
375,20210101,3,6,4,5,35.79,12.09,2.5,1,0,0.443
376,20210101,3,6,4,17,35.79,12.09,2.5,1,0,0.443
377,20210101,3,6,4,26,35.79,12.09,2.5,1,0,0.443
378,20210101,3,6,4,28,35.79,12.09,2.5,1,0,0.443
379,20210101,3,6,4,33,35.79,12.09,2.5,1,0,0.443
380,20220101,3,6,4,1,37.34,4.33,2.5,1,0,0.322
381,20220101,3,6,4,3,37.34,4.33,2.5,1,0,0.322
382,20220101,3,6,4,5,37.34,4.33,2.5,1,0,0.322
383,20220101,3,6,4,17,37.34,4.33,2.5,1,0,0.322
384,20220101,3,6,4,26,37.34,4.33,2.5,1,0,0.322
385,20220101,3,6,4,28,37.34,4.33,2.5,1,0,0.322
386,20220101,3,6,4,33,37.34,4.33,2.5,1,0,0.322
387,20230101,3,6,5,1,36.19,-3.08,2.5,1,0,0.371
388,20230101,3,6,5,3,36.19,-3.08,2.5,1,0,0.371
389,20230101,3,6,5,5,36.19,-3.08,2.5,1,0,0.371
390,20230101,3,6,5,17,36.19,-3.08,2.5,1,0,0.371
391,20230101,3,6,5,26,36.19,-3.08,2.5,1,0,0.371
392,20230101,3,6,5,28,36.19,-3.08,2.5,1,0,0.371
393,20230101,3,6,5,33,36.19,-3.08,2.5,1,0,0.371
394,20240101,3,6,5,1,34.1,-5.78,2.5,1,0,0.259
395,20240101,3,6,5,3,34.1,-5.78,2.5,1,0,0.259
396,20240101,3,6,5,5,34.1,-5.78,2.5,1,0,0.259
397,20240101,3,6,5,17,34.1,-5.78,2.5,1,0,0.259
398,20240101,3,6,5,26,34.1,-5.78,2.5,1,0,0.259
399,20240101,3,6,5,28,34.1,-5.78,2.5,1,0,0.259
400,20240101,3,6,5,33,34.1,-5.78,2.5,1,0,0.259
